,01學而,02爲政,03八佾,04里仁,05公冶長,06雍也,07述而,08泰伯,09子罕,010鄉黨,011先進,012顏淵,013子路,014憲問,015衛靈公,016季氏,017陽貨,018微子,019子張,020堯曰,021史記·孔子世家,022史記·弟子列傳,023家語·本姓解,024家語·七十二弟子解,025衣鏡·孔子傳,026衣鏡·弟子傳
014憲問,0.08270925925257944,0.061496007155445155,0.05196888700762628,0.08839076845821099,0.05232959069344041,0.042750285527973025,0.04285794793797282,0.03577355462387781,0.04473002012031547,0.001027458959793461,0.04351987190244362,0.0717148312221029,0.08159162620873289,0.9999999999999951,0.1302671225653382,0.09873233743018928,0.0664615631270415,0.04939934592096987,0.056328703201106695,0.0507966098559527,0.12465383797568699,0.15861510247005584,0.0052667781239248476,0.019304086943675424,0.0011456760747249317,0.05897648159719696
015衛靈公,0.08606318382097686,0.09001886878829389,0.06396521238412221,0.12433668577553857,0.04893424692366128,0.040591506500907065,0.03737179491172675,0.01887060138432068,0.06264512267255788,0.004877874677419604,0.02668727402651596,0.11490764191531525,0.0908930503944972,0.1302671225653382,1.0000000000000033,0.06336576372186682,0.08501703199371048,0.032979942079889406,0.0631920066946662,0.039188103685231394,0.059294148587798544,0.06576094108193492,0.003125512143016017,0.006415248140376575,0.0,0.06906459660151407
016季氏,0.023237900077244498,0.033867783100361246,0.013159033899195377,0.03357211936288458,0.01084120987425795,0.007793851128538399,0.03388498623891709,0.03396831102433787,0.010193473373591621,0.0,0.010744168579743401,0.0343203236491822,0.04648455707317115,0.09873233743018928,0.06336576372186682,1.000000000000002,0.06479058044686545,0.06684176674937772,0.021980623389166558,0.05353891491602401,0.18218571231146874,0.21291841810393267,0.0030006001800600207,0.040912433535975075,0.0,0.08870454954412761
017陽貨,0.04040996369307259,0.02712183062444161,0.024359469841395656,0.04770907348537041,0.02462990074478633,0.02557630831538175,0.02717030742171619,0.012576151931808627,0.015438881843641613,0.0023642313650912928,0.015021190653278586,0.05693162324099486,0.031291027891804726,0.0664615631270415,0.08501703199371048,0.06479058044686545,0.9999999999999997,0.026049424756608566,0.0550419837344534,0.03360454879598641,0.10218299849615996,0.1328055162216648,0.008079402695275127,0.011993295105122747,0.0,0.04433116779360037
018微子,0.007266724195127596,0.013147193950274345,0.009258663942496548,0.01924695320787383,0.012713081082389487,0.004112800888524774,0.019634088452523832,0.014340012141215422,0.010040943973105738,0.0032948973872905384,0.013956130399155334,0.01839824415536272,0.02983743599433393,0.04939934592096987,0.032979942079889406,0.06684176674937772,0.026049424756608566,0.9999999999999982,0.018558615177910583,0.018325872526591708,0.15014624274266608,0.0783883654565153,0.004222429838815005,0.014238181054873686,0.0,0.03278221989711157
019子張,0.09670834833776723,0.025875533284064157,0.021982526391065207,0.055099229702847856,0.048612496471111474,0.0246691737226992,0.025236021043134323,0.021503365971610903,0.051623170387756316,0.0024704087995216953,0.013951814292542403,0.08966370206583538,0.021510727209212495,0.056328703201106695,0.0631920066946662,0.021980623389166558,0.0550419837344534,0.018558615177910583,0.9999999999999967,0.029006991286367176,0.039749369298196176,0.07183377930775275,0.008442247999918679,0.011603623141788078,0.0,0.1786708678915108
020堯曰,0.01569175438817771,0.020278594868271358,0.020945200971262352,0.03886302361340714,0.015687205757963677,0.011841568893538485,0.024227328011889718,0.007864330870370017,0.003539983807443102,0.0,0.010045616362678016,0.031215755621905334,0.03823373208724806,0.0507966098559527,0.039188103685231394,0.05353891491602401,0.03360454879598641,0.018325872526591708,0.029006991286367176,0.9999999999999981,0.04631794189828791,0.06018550408280038,0.0,0.009930355667016827,0.0,0.035783896021709276
021史記·孔子世家,0.036212038958150394,0.03930959976465713,0.0405294267164733,0.0246193126236288,0.03756442361520551,0.01864660585610584,0.07827355015645598,0.026902638350431936,0.07938599166231024,0.029748014939399117,0.022909648510214386,0.08440265346312206,0.08046642527637063,0.12465383797568699,0.059294148587798544,0.18218571231146874,0.10218299849615996,0.15014624274266608,0.039749369298196176,0.04631794189828791,0.9999999999999997,0.26348395697997423,0.03993759651085581,0.05683473102893038,0.08572701505897364,0.12625490331431447
022史記·弟子列傳,0.09253109946020342,0.06505580715892557,0.030542885337129805,0.025397076233384924,0.0828704119796013,0.08466112108754434,0.06217899768128815,0.027332042917598023,0.03709832548562603,0.0017390962449467637,0.11018689597203508,0.12351011674505528,0.09237186656290937,0.15861510247005584,0.06576094108193492,0.21291841810393267,0.1328055162216648,0.0783883654565153,0.07183377930775275,0.06018550408280038,0.26348395697997423,1.0000000000000013,0.011886196161874517,0.3192294592944121,0.01066556009141229,0.2502272364412128
023家語·本姓解,0.0015495032701332582,0.001401705876816244,0.0013161666495780525,0.002984785404600533,0.005421689383461148,0.007015869329895995,0.001196179950703835,0.0013590042690128402,0.001223461521609442,0.0,0.0019839356415368168,0.010788545357485689,0.0,0.0052667781239248476,0.003125512143016017,0.0030006001800600207,0.008079402695275127,0.004222429838815005,0.008442247999918679,0.0,0.03993759651085581,0.011886196161874517,1.0000000000000073,0.009504143646560551,0.012534674385428043,0.009678795903063721
024家語·七十二弟子解,0.00817822832194319,0.006165132036059397,0.0005788904298908322,0.003938400292747921,0.011923125764250945,0.01080028022902878,0.007891749036245498,0.004184122094532418,0.00914796984808075,0.0,0.008289659131953557,0.009921641500859408,0.009040797597241076,0.019304086943675424,0.006415248140376575,0.040912433535975075,0.011993295105122747,0.014238181054873686,0.011603623141788078,0.009930355667016827,0.05683473102893038,0.3192294592944121,0.009504143646560551,1.0000000000000069,0.010337126161771043,0.16318619103410117
025衣鏡·孔子傳,0.004044739571395048,0.0,0.001717825135548426,0.0,0.0028304969748417235,0.0,0.0015612217393723498,0.003547471277100503,0.0,0.0,0.0,0.0012800834354852754,0.0025550536905700294,0.0011456760747249317,0.0,0.0,0.0,0.0,0.0,0.0,0.08572701505897364,0.01066556009141229,0.012534674385428043,0.010337126161771043,0.9999999999999967,0.019650559908823723
026衣鏡·弟子傳,0.06524003404650561,0.059017196600568776,0.024760191579540052,0.0254015689253427,0.00777102738108606,0.015712501217522483,0.03536179341920122,0.018261477140537666,0.035072289508635286,0.0,0.010663570731102745,0.10894711034319277,0.02805923110470729,0.05897648159719696,0.06906459660151407,0.08870454954412761,0.04433116779360037,0.03278221989711157,0.1786708678915108,0.035783896021709276,0.12625490331431447,0.2502272364412128,0.009678795903063721,0.16318619103410117,0.019650559908823723,1.0000000000000036
